  66   66  35 3 0 1 0 0-1 0 0 0 1 .00024 .00025 .00024      .00024 .000241  .000000 .000241
  67   67   0 2 0 1 0-1 2 0 0 0 0 .00000 .00000 .00000      .00000 .000052  .000000 .000000
  68   68   0 2 0 1 0 0 0-1 0 0 0 .00000 .00000 .00000      .00000 .000068  .000000 .000110
  69   69  36 3 0 1 0 0 0 0 0 0-1 .00466 .00466 .00466      .00466 .004660 -.000001 .004655
  70   70  37 3 0 1 0 0 1 0 0 0-1 .00073 .00073 .00073      .00073 .000735  .000000 .000736
  71   71  38 3 0 1 0 0 2 0 0 0 1 .00006 .00006 .00006      .00000 .000057  .000000 .000060
  72   72  39 2 0 1 0 1 0 0 0 0 2 .00441 .00441 .00441      .00442 .004410 -.000004 .004410
  73   73  40 2 0 1 0 1 1 0 0 0 2 .00181 .00181 .00181      .00179 .001798 -.000001 .001810
  74   74  41 2 0 1 0 1 2 0 0 0 2 .00049 .00049 .00049      .00047 .000483  .000000 .000480
  75   75   0 2 0 1 0 1 3 0 0 0 0 .00000 .00000 .00000      .00000 .000024  .000000 .000000
  76   76   0 2 0 1 1-1-1-1 0 0 0 .00000 .00000 .00000      .00000 .000033  .000000 .000000
  77   77  42 2 0 1 1-1 0-1 0 0 2 .00042 .00042 .00042      .00043 .000426  .000000 .000420
  78   78   0 2 0 1 1-1 1-1 0 0 0 .00000 .00000 .00000      .00000 .000017  .000000 .000000
  79   79   0 3 0 1 1 0 0-1 0 0 1 .00000 .00000 .00000      .00000 .000009  .000000 .000000
  80   80   0 2 0 1 1 0 0 0 0 0 0 .00000 .00000 .00000      .00000 .000027  .000000 .000000
  81   81   0 2 0 1 1 0 1 0 0 0 0 .00000 .00000 .00000      .00000 .000011  .000000 .000000
  82   82   0 2 0 1 1 1 0-1 0 0 2 .00000 .00000 .00000      .00000 .000015  .000000 .000000
  83   83   0 2 0 1 1 1 1-1 0 0 2 .00000 .00000 .00000      .00000 .000009  .000000 .000000
  84   84  43 2 0 1 2-1 0 0 0 0 2 .00115 .00115 .00115      .00116 .001148 -.000001 .001150
  85   85  44 2 0 1 2-1 1 0 0 0 2 .00059 .00059 .00056      .00058 .000574  .000000 .000580
  86   86  45 2 0 1 2-1 2 0 0 0 2 .00012 .00009 .00009      .00000 .000103  .000000 .000100
  87   87   0 3 0 1 2 0 1 0 0 0 1 .00000 .00000 .00000      .00000 .000007  .000000 .000000
  88   88   0 3 0 1 2 0 2 0 0 0 1 .00000 .00000 .00000      .00000 .000004  .000000 .000000
  89   89  46 2 0 1 3-1 0-1 0 0 2 .00005 .00005 .00005      .00000 .000055  .000000 .000060
  90   90   0 2 0 1 3-1 1-1 0 0 2 .00000 .00000 .00000      .00000 .000026  .000000 .000000
  91   91   0 2 0 2-5 2 0 1 0 0 0 .00000 .00000 .00000      .00000 .000022  .000000 .000000
  92   92   0 2 0 2-4 0-1 0 0 0 2 .00000 .00000 .00000      .00000 .000025  .000000 .000000
  93    0   0 2 0 2-4 0 0 0 0 0 2 .00000 .00000 .00000      .00000 .000000  .000000 .000040
  94   93   0 2 0 2-4 0 0 2 0 0 0 .00000 .00000 .00000      .00000 .000041  .000000 .000000
  95   94   0 2 0 2-4 2-1 0 0 0 2 .00000 .00000 .00000      .00000 .000018  .000000 .000000
  96   95  47 2 0 2-4 2 0 0 0 0 0 .00026 .00026 .00026      .00026 .000257  .000000 .000260
  97   96   0 2 0 2-4 2 1 0 0 0 2 .00000 .00000 .00000      .00000 .000017  .000000 .000000
  98   97   0 2 0 2-3 0-1 1 0 0 0 .00000 .00000 .00000      .00000 .000023  .000000 .000000
  99   98  48 2 0 2-3 0 0 1 0 0 0 .00092 .00092 .00089      .00091 .000902 -.000001 .000910
 100   99  49 2 0 2-3 0 1 1 0 0 2 .00005 .00005 .00005      .00000 .000057  .000000 .000060
 101  100   0 2 0 2-3 1 0 0 0 0 2 .00000 .00000 .00000      .00000 .000022  .000000 .000000
 102  101   0 3 0 2-3 1 0 1 0 0-1 .00000 .00000 .00000      .00000 .000007  .000000 .000000
 103  102   0 2 0 2-2-2-1 0 0 0 2 .00000 .00000 .00000      .00000 .000013  .000000 .000000
 104  103   0 3 0 2-2-1 0 0 0 0 1 .00000 .00000 .00000      .00000 .000007  .000000 .000000
